id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
2318,train_data/2318.wav,10270512,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,1. Allegro moderato,175,1,4,82,14
1828,train_data/1828.wav,4243540,Mozart,Piano Trio,Piano Trio No 4 in E major,2. Andante grazioso,46,7,9,51,64
1824,train_data/1824.wav,4047741,Mozart,String Quartet,String Quartet No 15 in D minor,3. Menuetto and Trio. Allegretto,45,7,14,67,130
2140,train_data/2140.wav,6104712,Brahms,String Quartet,String Quartet in C minor,4. Allegro,84,2,14,77,161
2392,train_data/2392.wav,7001235,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,2. Adagio,213,1,12,22,38
2411,train_data/2411.wav,2065137,Beethoven,Solo Piano,Piano Sonata No 13 in E-flat major,2. Allegro molto e vivace,222,1,12,18,58
2393,train_data/2393.wav,6130626,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,3. Allegretto,214,1,12,22,110
2390,train_data/2390.wav,6273568,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,3. Allegretto,211,1,12,22,110
2310,train_data/2310.wav,883984,Bach,Solo Piano,"WTK I, No. 15: Prelude and Fugue in G major",1. Prelude,171,0,12,100,34
2527,train_data/2527.wav,6177855,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,1. Allegro molto e con brio,274,1,12,40,16
2315,train_data/2315.wav,17104562,Beethoven,String Quartet,String Quartet No 15 in A minor,3. Molto Adagio; Andante,174,1,14,66,136
1822,train_data/1822.wav,7369341,Mozart,String Quartet,String Quartet No 15 in D minor,1. Allegro moderato,44,7,14,67,14
2397,train_data/2397.wav,9968745,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,1. Adagio sostenuto - Presto,215,1,2,93,3
2313,train_data/2313.wav,9501885,Beethoven,String Quartet,String Quartet No 15 in A minor,1. Allegro,172,1,14,66,6
2477,train_data/2477.wav,3533845,Beethoven,Solo Piano,Piano Sonata No 3 in C major,3. Scherzo: Allegro,246,1,12,37,152
2507,train_data/2507.wav,3484944,Beethoven,Wind Octet,Octet in E-flat major for Winds,4. Presto,265,1,18,9,177
2492,train_data/2492.wav,7691285,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,4. Rondo: Poco allegretto e grazioso,257,1,12,39,186
1835,train_data/1835.wav,3790054,Mozart,String Quartet,String Quartet No 23 in F major,3. Menuetto. Allegretto,48,7,14,72,131
2537,train_data/2537.wav,4590864,Beethoven,Solo Piano,Piano Sonata No 20 in G major,1. Allegro ma non troppo,281,1,12,28,12
2148,train_data/2148.wav,13162371,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,1. Allegro,86,2,7,11,6
2288,train_data/2288.wav,3067821,Bach,Solo Violin,Violin Partita No 1 in B minor,2. Corrente,155,0,13,83,74
2451,train_data/2451.wav,6749565,Beethoven,String Quartet,String Quartet No 6 in B-flat major,2. Adagio ma non troppo,238,1,14,74,48
1872,train_data/1872.wav,8151458,Mozart,Piano Trio,Piano Trio No 3 in B-flat major,2. Larghetto,50,7,9,50,79
2149,train_data/2149.wav,7621068,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,87,2,7,11,78
2607,train_data/2607.wav,10783765,Beethoven,Solo Piano,Piano Sonata No 16 in G major,2. Adagio grazioso,312,1,12,21,47
2147,train_data/2147.wav,8028996,Brahms,String Sextet,String Sextet No 2 in G major,4. Poco allegro,85,2,15,81,176
2443,train_data/2443.wav,16562051,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,3. Adagio sostenuto,236,1,12,36,109
1739,train_data/1739.wav,7847184,Schubert,Piano Trio,Piano Trio in B-flat major,4. Rondo. Allegro vivace,7,9,9,54,181
2540,train_data/2540.wav,4216373,Beethoven,Solo Piano,Piano Sonata No 28 in A major,1. Etwas lebhaft und mit der innigsten Empfindung,283,1,12,35,26
2364,train_data/2364.wav,4751778,Beethoven,Solo Piano,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,194,1,12,20,183
2497,train_data/2497.wav,4707057,Beethoven,String Quartet,String Quartet No 11 in F minor,4. Larghetto espressivo; Allegretto agitato; Allegro,259,1,14,61,173
2308,train_data/2308.wav,1949362,Bach,Solo Piano,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",1. Prelude,170,0,12,103,34
2557,train_data/2557.wav,12196049,Beethoven,Solo Piano,Piano Sonata No 30 in E major,"3. Gesangvoll, mit innigster Empfindung",288,1,12,38,123
1919,train_data/1919.wav,6948861,Dvorak,String Quartet,String Quartet No 10 in E-flat major,4. Finale,56,4,14,60,167
1773,train_data/1773.wav,4918126,Schubert,Solo Piano,Piano Sonata in D-flat major,3. Menuetto. Allegretto,26,9,12,49,131
2300,train_data/2300.wav,3810952,Bach,Solo Piano,"WTK I, No. 8: Prelude and Fugue in E-flat minor",1. Prelude,164,0,12,116,34
2384,train_data/2384.wav,3405950,Beethoven,String Quartet,String Quartet No 13 in B-flat major,4. Alla danza tedesca. Allegro assai,208,1,14,64,159
2079,train_data/2079.wav,4459207,Cambini,Wind Quintet,Wind Quintet No 2 in D Minor,2. Larghetto sostenuto ma con moto,66,3,19,119,82
1923,train_data/1923.wav,6290704,Dvorak,String Quartet,String Quartet No 10 in E-flat major,4. Finale,58,4,14,60,167
2410,train_data/2410.wav,5015511,Beethoven,Solo Piano,Piano Sonata No 13 in E-flat major,1. Andante - Allegro - Andante,221,1,12,18,23
2078,train_data/2078.wav,5695948,Cambini,Wind Quintet,Wind Quintet No 2 in D Minor,1. Allegro espressivo,65,3,19,119,10
2490,train_data/2490.wav,8306939,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",255,1,12,39,85
2304,train_data/2304.wav,3141800,Bach,Solo Piano,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",2. Fugue,167,0,12,99,76
2305,train_data/2305.wav,1042391,Bach,Solo Piano,"WTK I, No. 14: Prelude and Fugue in F-sharp minor",1. Prelude,168,0,12,99,34
2381,train_data/2381.wav,8968987,Beethoven,String Quartet,String Quartet No 13 in B-flat major,"1. Adagio, ma non troppo - Allegro",205,1,14,64,4
2538,train_data/2538.wav,3394665,Beethoven,Solo Piano,Piano Sonata No 20 in G major,2. Tempo di Menuetto,282,1,12,28,101
2307,train_data/2307.wav,2195122,Bach,Solo Piano,"WTK I, No. 18: Prelude and Fugue in G-sharp minor",2. Fugue,169,0,12,103,76
2389,train_data/2389.wav,7194750,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,2. Adagio,210,1,12,22,38
2415,train_data/2415.wav,3647530,Beethoven,Pairs Clarinet-Horn-Bassoon,Sextet in E-flat major for Winds,2. Adagio,223,1,6,58,38
2494,train_data/2494.wav,4753032,Beethoven,String Quartet,String Quartet No 11 in F minor,1. Allegro con brio,258,1,14,61,9
2178,train_data/2178.wav,5683827,Ravel,String Quartet,String Quartet in F,2. Assez vif - tres rythme,103,8,14,78,72
2075,train_data/2075.wav,5264196,Cambini,Wind Quintet,Wind Quintet No 1 in B-flat Major,1. Allegro maestoso,62,3,19,118,13
2289,train_data/2289.wav,3253813,Bach,Solo Violin,Violin Partita No 1 in B minor,3. Sarabande,156,0,13,83,148
2076,train_data/2076.wav,3960164,Cambini,Wind Quintet,Wind Quintet No 1 in B-flat Major,2. Larghetto cantabile,63,3,19,118,80
1916,train_data/1916.wav,10800381,Dvorak,String Quartet,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,54,4,14,60,12
2179,train_data/2179.wav,8080823,Ravel,String Quartet,String Quartet in F,3. Tres lent,104,8,14,78,158
2077,train_data/2077.wav,4001960,Cambini,Wind Quintet,Wind Quintet No 1 in B-flat Major,3. Rondo Allegretto grazioso,64,3,19,118,143
2442,train_data/2442.wav,2800745,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,2. Scherzo: Assai vivace,235,1,12,36,100
2177,train_data/2177.wav,7853454,Ravel,String Quartet,String Quartet in F,1. Allegro moderato - tres doux,102,8,14,78,15
2603,train_data/2603.wav,6691945,Beethoven,Solo Piano,Piano Sonata No 26 in E-flat major,1. Das Lebewohl,311,1,12,33,25
2608,train_data/2608.wav,6248490,Beethoven,Solo Piano,Piano Sonata No 16 in G major,"3. Rondo, allegretto - presto",313,1,12,21,145
2282,train_data/2282.wav,5012167,Bach,Violin and Harpsichord,Violin Sonata in B minor,1. Adagio,151,0,17,94,0
1742,train_data/1742.wav,14792412,Schubert,Viola Quintet,String Quintet in C major,2. Adagio,8,9,16,79,38
2444,train_data/2444.wav,12330632,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,4. Introduzione: Largo...Allegro - Fuga: Allegro risoluto,237,1,12,36,172
2285,train_data/2285.wav,3615347,Bach,Violin and Harpsichord,Violin Sonata in B minor,4. Allegro,154,0,17,94,161
2441,train_data/2441.wav,12718498,Beethoven,Solo Piano,Piano Sonata No 29 in B-flat major,1. Allegro,234,1,12,36,6
2284,train_data/2284.wav,3639171,Bach,Violin and Harpsichord,Violin Sonata in B minor,3. Andante,153,0,17,94,116
2201,train_data/2201.wav,2148311,Bach,Solo Piano,"WTK I, No. 16: Prelude and Fugue in G minor",1. Prelude,113,0,12,101,34
2391,train_data/2391.wav,7574257,Beethoven,Solo Piano,Piano Sonata No 17 in D minor,1. Largo - Allegro,212,1,12,22,28
2320,train_data/2320.wav,3563938,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,3. Rondo: Allegro,177,1,4,82,146
1728,train_data/1728.wav,4018260,Schubert,Piano Quintet,Piano Quintet in A major,3. Scherzo: Presto,1,9,8,13,156
2523,train_data/2523.wav,8937981,Beethoven,Accompanied Cello,Cello Sonata No. 3 in A major,3. Adagio cantabile - Allegro vivace,273,1,0,2,105
2521,train_data/2521.wav,12031485,Beethoven,Accompanied Cello,Cello Sonata No. 3 in A major,1. Allegro ma non tanto,271,1,0,2,11
2516,train_data/2516.wav,6206694,Beethoven,Solo Piano,Piano Sonata No 2 in A major,4. Rondo: Grazioso,270,1,12,25,184
2229,train_data/2229.wav,3913352,Bach,Solo Piano,"WTK I, No. 20: Prelude and Fugue in A minor",2. Fugue,136,0,12,106,76
1933,train_data/1933.wav,5625981,Dvorak,String Quartet,String Quartet No 12 in F major,4. Finale: vivace ma non troppo,61,4,14,63,170
1931,train_data/1931.wav,7544061,Dvorak,String Quartet,String Quartet No 12 in F major,2. Lento,59,4,14,63,86
1932,train_data/1932.wav,4000893,Dvorak,String Quartet,String Quartet No 12 in F major,3. Molto vivace,60,4,14,63,137
2398,train_data/2398.wav,14573819,Beethoven,Accompanied Violin,Violin Sonata No 9 in A major,2. Andante con variazioni,216,1,2,93,63
2571,train_data/2571.wav,8640471,Beethoven,Accompanied Violin,Violin Sonata No 7 in C minor,2. Adagio cantibile,296,1,2,91,43
2573,train_data/2573.wav,5441829,Beethoven,Accompanied Violin,Violin Sonata No 7 in C minor,4. Finale: Allegro; Presto,298,1,2,91,169
2570,train_data/2570.wav,8112170,Beethoven,Accompanied Violin,Violin Sonata No 7 in C minor,1. Allegro con brio,295,1,2,91,9
2576,train_data/2576.wav,4475507,Beethoven,Solo Piano,Piano Sonata No 8 in C minor,3. Rondo: Allegro,300,1,12,43,146
1727,train_data/1727.wav,7152954,Schubert,Piano Quintet,Piano Quintet in A major,2. Andante,0,9,8,13,61
1729,train_data/1729.wav,7111994,Schubert,Piano Quintet,Piano Quintet in A major,4. Andantino - Allegretto,2,9,8,13,166
2404,train_data/2404.wav,6385999,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,1. Moderato cantabile molto espressivo,218,1,12,26,33
2575,train_data/2575.wav,4862120,Beethoven,Solo Piano,Piano Sonata No 8 in C minor,2. Adagio cantabile,299,1,12,43,41
2572,train_data/2572.wav,3216614,Beethoven,Accompanied Violin,Violin Sonata No 7 in C minor,3. Scherzo: Allegro,297,1,2,91,152
2677,train_data/2677.wav,7124115,Beethoven,Solo Piano,Piano Sonata No 9 in E major,1. Allegro,328,1,12,44,6
2374,train_data/2374.wav,3464464,Beethoven,Solo Piano,Piano Sonata No 19 in G minor,2. Rondo: Allegro,201,1,12,24,94
2169,train_data/2169.wav,8308193,Faure,Piano Quartet,Piano Quartet No 2 in G minor,4. Allegro molto,101,5,7,12,164
2168,train_data/2168.wav,9804069,Faure,Piano Quartet,Piano Quartet No 2 in G minor,3. Adagio non troppo,100,5,7,12,108
1730,train_data/1730.wav,5896569,Schubert,Piano Quintet,Piano Quintet in A major,5. Allegro giusto,3,9,8,13,190
2678,train_data/2678.wav,7557956,Beethoven,Solo Piano,Piano Sonata No 10 in G major,1. Allegro,329,1,12,15,6
2161,train_data/2161.wav,6355070,Brahms,Horn Piano Trio,Horn Trio in E-flat major,4. Allegro con brio,97,2,5,8,163
2166,train_data/2166.wav,10228716,Faure,Piano Quartet,Piano Quartet No 2 in G minor,1. Allegro molto moderato,98,5,7,12,17
2373,train_data/2373.wav,5097849,Beethoven,Solo Piano,Piano Sonata No 19 in G minor,1. Andante,200,1,12,24,22
2160,train_data/2160.wav,7151700,Brahms,Horn Piano Trio,Horn Trio in E-flat major,3. Adagio mesto,96,2,5,8,107
2167,train_data/2167.wav,3095406,Faure,Piano Quartet,Piano Quartet No 2 in G minor,2. Allegro molto,99,5,7,12,57
2372,train_data/2372.wav,3657143,Beethoven,Solo Piano,Piano Sonata No 9 in E major,3. Rondo - Allegro comodo,199,1,12,44,142
2590,train_data/2590.wav,6251834,Beethoven,Solo Piano,Piano Sonata No 12 in A-flat major,3. Maestoso andante,305,1,12,17,127
2611,train_data/2611.wav,9012036,Beethoven,Solo Piano,Piano Sonata No 7 in D major,2. Largo e mesto,314,1,12,42,84
2591,train_data/2591.wav,2871798,Beethoven,Solo Piano,Piano Sonata No 12 in A-flat major,4. Allegro,306,1,12,17,161
2593,train_data/2593.wav,8206211,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,1. Allegro,307,1,12,23,6
2595,train_data/2595.wav,4923142,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,3. Menuetto. Moderato e grazioso,309,1,12,23,133
2614,train_data/2614.wav,10162678,Beethoven,Solo Piano,Piano Sonata No 7 in D major,2. Largo e mesto,315,1,12,42,84
2293,train_data/2293.wav,4962430,Bach,Solo Cello,Cello Suite 4,1. Prelude,158,0,10,5,34
2594,train_data/2594.wav,5109134,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,2. Scherzo: Allegretto vivace,308,1,12,23,98
2596,train_data/2596.wav,5212787,Beethoven,Solo Piano,Piano Sonata No 18 in E-flat major,4. Presto,310,1,12,23,177
2292,train_data/2292.wav,1461186,Bach,Solo Piano,"WTK I, No. 19: Prelude and Fugue in A major",1. Prelude,157,0,12,104,34
2473,train_data/2473.wav,5364507,Beethoven,Solo Piano,Piano Sonata No 3 in C major,4. Allegro assai,244,1,12,37,162
2619,train_data/2619.wav,3815968,Beethoven,Solo Piano,Piano Sonata No 6 in F major,2. Allegretto,317,1,12,41,51
2297,train_data/2297.wav,5348206,Bach,Solo Cello,Cello Suite 4,5. Bouree,162,0,10,5,191
2472,train_data/2472.wav,3446492,Beethoven,Solo Piano,Piano Sonata No 3 in C major,3. Scherzo: Allegro,243,1,12,37,152
1813,train_data/1813.wav,9471792,Mozart,Clarinet Quintet,Clarinet Quintet in A major,4. Allegretto con variazioni,40,7,3,6,160
2200,train_data/2200.wav,1816451,Bach,Solo Piano,"WTK I, No. 16: Prelude and Fugue in G minor",2. Fugue,112,0,12,101,76
1734,train_data/1734.wav,5209862,Schubert,Solo Piano,Piano Sonata in A major,3. Scherzo. Allegro vivace,5,9,12,45,150
2568,train_data/2568.wav,7649489,Beethoven,Solo Piano,Piano Sonata No 27 in E minor,2. Nicht zu geschwind und sehr singbar vorgetragen,294,1,12,34,90
2196,train_data/2196.wav,1207485,Bach,Solo Piano,"WTK I, No. 3: Prelude and Fugue in C-sharp major",1. Prelude,110,0,12,111,34
2203,train_data/2203.wav,2498978,Bach,Solo Flute,Partita in A minor,2. Corrente,115,0,11,10,74
2194,train_data/2194.wav,1601620,Bach,Solo Piano,"WTK I, No. 13: Prelude and Fugue in F-sharp major",1. Prelude,108,0,12,98,34
2202,train_data/2202.wav,2899383,Bach,Solo Flute,Partita in A minor,1. Allemande,114,0,11,10,21
2296,train_data/2296.wav,4670694,Bach,Solo Cello,Cello Suite 4,4. Sarabande,161,0,10,5,187
2198,train_data/2198.wav,3166877,Bach,Solo Piano,"WTK I, No. 22: Prelude and Fugue in B-flat minor",2. Fugue,111,0,12,108,76
1876,train_data/1876.wav,5703472,Mozart,Piano Trio,Piano Trio No2 in G major,2. Andante,52,7,9,53,61
2195,train_data/2195.wav,2481842,Bach,Solo Piano,"WTK I, No. 3: Prelude and Fugue in C-sharp major",2. Fugue,109,0,12,111,76
1735,train_data/1735.wav,11438707,Schubert,Solo Piano,Piano Sonata in A major,4. Rondo. Allegretto,6,9,12,45,179
2564,train_data/2564.wav,8862825,Beethoven,Solo Piano,Piano Sonata No 11 in B-flat major,2. Adagio con molto espressione,291,1,12,16,45
2567,train_data/2567.wav,6194574,Beethoven,Solo Piano,Piano Sonata No 27 in E minor,1. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck,293,1,12,34,31
2562,train_data/2562.wav,5289692,Beethoven,String Quartet,String Quartet No 2 in G major,"4. Allegro molto, quasi presto",290,1,14,71,165
2208,train_data/2208.wav,1932644,Bach,Solo Piano,"WTK I, No. 10: Prelude and Fugue in E minor",1. Prelude,118,0,12,95,34
2207,train_data/2207.wav,1434018,Bach,Solo Piano,"WTK I, No. 10: Prelude and Fugue in E minor",2. Fugue,117,0,12,95,76
2471,train_data/2471.wav,7256608,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,242,1,12,37,38
2204,train_data/2204.wav,2118636,Bach,Solo Flute,Partita in A minor,3. Sarabande,116,0,11,10,148
1733,train_data/1733.wav,8736183,Schubert,Solo Piano,Piano Sonata in A major,2. Andantino,4,9,12,45,70
2560,train_data/2560.wav,6071276,Beethoven,String Quartet,String Quartet No 2 in G major,2. Adagio cantabile - Allegro - Tempo I,289,1,14,71,42
2368,train_data/2368.wav,6954423,Beethoven,String Quartet,String Quartet No 12 in E-flat major,4. Allegro,197,1,14,62,161
2117,train_data/2117.wav,4257333,Brahms,Accompanied Clarinet,Clarinet Sonata No 1 in F minor,2. Andante un poco Adagio,78,2,1,7,68
2118,train_data/2118.wav,3713986,Brahms,Accompanied Clarinet,Clarinet Sonata No 1 in F minor,3. Allegretto grazioso,79,2,1,7,111
2113,train_data/2113.wav,5645793,Brahms,Accompanied Cello,Cello Sonata No 1 in E minor,2. Allegretto quasi Menuetto,75,2,0,1,53
2116,train_data/2116.wav,6574498,Brahms,Accompanied Clarinet,Clarinet Sonata No 1 in F minor,1. Allegro appassionato,77,2,1,7,7
2566,train_data/2566.wav,6484219,Beethoven,Solo Piano,Piano Sonata No 11 in B-flat major,4. Rondo: Allegretto,292,1,12,16,182
2248,train_data/2248.wav,1674345,Bach,Solo Piano,"WTK I, No. 9: Prelude and Fugue in E major",1. Prelude,150,0,12,117,34
2405,train_data/2405.wav,2207661,Beethoven,Solo Piano,Piano Sonata No 20 in A-flat major,2. Allegro molto,219,1,12,26,57
2112,train_data/2112.wav,14360242,Brahms,Accompanied Cello,Cello Sonata No 1 in E minor,1. Allegro non troppo,74,2,0,1,18
2114,train_data/2114.wav,6449111,Brahms,Accompanied Cello,Cello Sonata No 1 in E minor,3. Allegro,76,2,0,1,112
